,Unnamed: 0,UNIT,DATEn,TIMEn,DESCn,ENTRIESn_hourly,EXITSn_hourly,Hour
57,57,R023,2011-05-04,8:00:00,REGULAR,1832,2519,8
58,58,R023,2011-05-04,12:00:00,REGULAR,4817,5304,12
59,59,R023,2011-05-04,16:00:00,REGULAR,4599,8346,16
60,60,R023,2011-05-04,20:00:00,REGULAR,10744,6934,20
61,61,R023,2011-05-05,0:00:00,REGULAR,4838,2879,0
62,62,R023,2011-05-05,4:00:00,REGULAR,651,154,4
63,63,R023,2011-05-05,8:00:00,REGULAR,1729,2612,8
64,64,R023,2011-05-05,12:00:00,REGULAR,3669,9434,12
65,65,R023,2011-05-05,16:00:00,REGULAR,4030,4136,16
66,66,R023,2011-05-05,20:00:00,REGULAR,8273,5438,20
67,67,R023,2011-05-06,0:00:00,REGULAR,9762,5821,0
68,68,R023,2011-05-06,4:00:00,REGULAR,872,266,4
69,69,R023,2011-05-06,8:00:00,REGULAR,942,2307,8
70,70,R023,2011-05-06,12:00:00,REGULAR,5591,10010,12
71,71,R023,2011-05-06,14:58:43,REGULAR,3330,3802,14
72,72,R023,2011-05-06,16:00:00,REGULAR,1641,1701,16
73,73,R023,2011-05-06,20:00:00,REGULAR,10890,7559,20
74,74,R032,2011-05-01,0:00:00,REGULAR,0,0,0
75,75,R032,2011-05-01,4:00:00,REGULAR,163,262,4
76,76,R032,2011-05-01,8:00:00,REGULAR,65,237,8
77,77,R032,2011-05-01,12:00:00,REGULAR,257,1292,12
78,78,R032,2011-05-01,16:00:00,REGULAR,529,2237,16
79,79,R032,2011-05-01,20:00:00,REGULAR,786,2086,20
80,80,R032,2011-05-02,0:00:00,REGULAR,440,1002,0
81,81,R032,2011-05-02,4:00:00,REGULAR,56,122,4
82,82,R032,2011-05-02,8:00:00,REGULAR,541,1064,8
83,83,R032,2011-05-02,12:00:00,REGULAR,220,2413,12
84,84,R032,2011-05-02,16:00:00,REGULAR,2415,5379,16
85,85,R032,2011-05-02,20:00:00,REGULAR,5311,4117,20
86,86,R032,2011-05-03,0:00:00,REGULAR,3085,3098,0
87,87,R032,2011-05-03,4:00:00,REGULAR,118,111,4
88,88,R032,2011-05-03,8:00:00,REGULAR,186,692,8
89,89,R032,2011-05-03,12:00:00,REGULAR,2009,7785,12
90,90,R032,2011-05-03,16:00:00,REGULAR,1984,3206,16
91,91,R032,2011-05-03,20:00:00,REGULAR,6455,4036,20
92,92,R032,2011-05-04,0:00:00,REGULAR,1190,1011,0
93,93,R032,2011-05-04,4:00:00,REGULAR,104,86,4
94,94,R032,2011-05-04,8:00:00,REGULAR,575,1090,8
95,95,R032,2011-05-04,12:00:00,REGULAR,1488,7609,12
96,96,R032,2011-05-04,16:00:00,REGULAR,2000,3187,16
97,97,R032,2011-05-04,20:00:00,REGULAR,6799,3653,20
98,98,R032,2011-05-05,0:00:00,REGULAR,1199,888,0
99,99,R032,2011-05-05,4:00:00,REGULAR,116,75,4
100,100,R032,2011-05-05,8:00:00,REGULAR,589,1053,8
101,101,R032,2011-05-05,12:00:00,REGULAR,1781,7683,12
102,102,R032,2011-05-05,16:00:00,REGULAR,2057,3351,16
103,103,R032,2011-05-05,20:00:00,REGULAR,6453,4131,20
104,104,R032,2011-05-06,0:00:00,REGULAR,1261,1133,0
105,105,R032,2011-05-06,4:00:00,REGULAR,155,161,4
106,106,R032,2011-05-06,11:40:41,REGULAR,1994,7905,11
107,107,R032,2011-05-06,11:43:35,REGULAR,25,31,11
108,108,R032,2011-05-06,12:00:00,REGULAR,114,234,12
109,109,R032,2011-05-06,16:00:00,REGULAR,2279,3464,16
110,110,R032,2011-05-06,20:00:00,REGULAR,5787,4209,20
111,111,R051,2011-05-01,0:00:00,REGULAR,0,0,0
112,112,R051,2011-05-01,4:00:00,REGULAR,344,208,4
113,113,R051,2011-05-01,8:00:00,REGULAR,183,229,8
114,114,R051,2011-05-01,12:00:00,REGULAR,878,1000,12
115,115,R051,2011-05-01,16:00:00,REGULAR,1866,1108,16
116,116,R051,2011-05-01,20:00:00,REGULAR,2149,1166,20
117,117,R051,2011-05-02,0:00:00,REGULAR,1160,425,0
118,118,R051,2011-05-02,4:00:00,REGULAR,105,48,4
119,119,R051,2011-05-02,8:00:00,REGULAR,670,1472,8
120,120,R051,2011-05-02,12:00:00,REGULAR,2630,3600,12
121,121,R051,2011-05-02,16:00:00,REGULAR,2592,1459,16
122,122,R051,2011-05-02,20:00:00,REGULAR,6560,2084,20
123,123,R051,2011-05-03,0:00:00,REGULAR,1923,652,0
124,124,R051,2011-05-03,4:00:00,REGULAR,134,77,4
125,125,R051,2011-05-03,8:00:00,REGULAR,712,1547,8
126,126,R051,2011-05-03,12:00:00,REGULAR,2727,3651,12
127,127,R051,2011-05-03,16:00:00,REGULAR,2826,1427,16
128,128,R051,2011-05-03,20:00:00,REGULAR,6953,2120,20
129,129,R051,2011-05-04,0:00:00,REGULAR,2146,760,0
130,130,R051,2011-05-04,4:00:00,REGULAR,160,71,4
131,131,R051,2011-05-04,8:00:00,REGULAR,695,1554,8
132,132,R051,2011-05-04,12:00:00,REGULAR,2918,3647,12
133,133,R051,2011-05-04,16:00:00,REGULAR,2844,1471,16
134,134,R051,2011-05-04,20:00:00,REGULAR,6628,2215,20
135,135,R051,2011-05-05,0:00:00,REGULAR,2059,717,0
136,136,R051,2011-05-05,4:00:00,REGULAR,153,63,4
137,137,R051,2011-05-05,8:00:00,REGULAR,692,1526,8
138,138,R051,2011-05-05,12:00:00,REGULAR,4,1,12
139,139,R051,2011-05-05,16:00:00,REGULAR,839,19,16
140,140,R051,2011-05-05,20:00:00,REGULAR,8869,4036,20
141,141,R051,2011-05-06,0:00:00,REGULAR,4990,4207,0
142,142,R051,2011-05-06,4:00:00,REGULAR,244,113,4
143,143,R051,2011-05-06,8:00:00,REGULAR,665,1403,8
144,144,R051,2011-05-06,12:00:00,REGULAR,2584,3668,12
145,145,R051,2011-05-06,16:00:00,REGULAR,3070,1655,16
146,146,R051,2011-05-06,20:00:00,REGULAR,6472,2033,20
147,147,R079,2011-05-01,2:00:00,REGULAR,0,0,2
148,148,R079,2011-05-01,6:00:00,REGULAR,98,49,6
149,149,R079,2011-05-01,10:00:00,REGULAR,260,1031,10
150,150,R079,2011-05-01,14:00:00,REGULAR,1586,3402,14
151,151,R079,2011-05-01,18:00:00,REGULAR,4333,2322,18
152,152,R079,2011-05-01,22:00:00,REGULAR,2479,492,22
153,153,R079,2011-05-02,2:00:00,REGULAR,1203,954,2
154,154,R079,2011-05-02,6:00:00,REGULAR,29,166,6
155,155,R079,2011-05-02,10:00:00,REGULAR,817,6812,10
156,156,R079,2011-05-02,14:00:00,REGULAR,2361,3747,14
157,157,R079,2011-05-02,18:00:00,REGULAR,5981,2059,18
158,158,R079,2011-05-02,22:00:00,REGULAR,5466,1216,22
159,159,R079,2011-05-03,2:00:00,REGULAR,1879,866,2
160,160,R079,2011-05-03,6:00:00,REGULAR,1224,864,6
161,161,R079,2011-05-03,10:00:00,REGULAR,858,7536,10
162,162,R079,2011-05-03,14:00:00,REGULAR,2514,4049,14
163,163,R079,2011-05-03,18:00:00,REGULAR,8235,3395,18
164,164,R079,2011-05-03,22:00:00,REGULAR,6329,1511,22
165,165,R079,2011-05-04,2:00:00,REGULAR,1007,241,2
166,166,R079,2011-05-04,6:00:00,REGULAR,58,213,6
167,167,R079,2011-05-04,8:24:29,REGULAR,95,518,8
168,168,R079,2011-05-04,10:00:00,REGULAR,977,7385,10
169,169,R079,2011-05-04,14:00:00,REGULAR,2535,3580,14
170,170,R079,2011-05-04,18:00:00,REGULAR,7778,3503,18
171,171,R079,2011-05-04,22:00:00,REGULAR,5948,1861,22
172,172,R079,2011-05-05,2:00:00,REGULAR,987,323,2
173,173,R079,2011-05-05,6:00:00,REGULAR,47,183,6
174,174,R079,2011-05-05,8:45:57,REGULAR,97,1276,8
175,175,R079,2011-05-05,10:00:00,REGULAR,758,7315,10
176,176,R079,2011-05-05,14:00:00,REGULAR,2645,5279,14
177,177,R079,2011-05-05,18:00:00,REGULAR,8510,4594,18
178,178,R079,2011-05-05,22:00:00,REGULAR,6529,2017,22
179,179,R079,2011-05-06,2:00:00,REGULAR,1153,393,2
180,180,R079,2011-05-06,6:00:00,REGULAR,90,242,6
181,181,R079,2011-05-06,10:00:00,REGULAR,889,7698,10
182,182,R079,2011-05-06,14:00:00,REGULAR,2778,5110,14
183,183,R079,2011-05-06,18:00:00,REGULAR,8905,4677,18
184,184,R079,2011-05-06,22:00:00,REGULAR,5870,1957,22
185,185,R080,2011-05-01,0:00:00,REGULAR,0,0,0
186,186,R080,2011-05-01,4:00:00,REGULAR,1061,364,4
187,187,R080,2011-05-01,8:00:00,REGULAR,367,488,8
188,188,R080,2011-05-01,12:00:00,REGULAR,2266,2283,12
189,189,R080,2011-05-01,16:00:00,REGULAR,2896,1861,16
190,190,R080,2011-05-01,20:00:00,REGULAR,5001,2202,20
191,191,R080,2011-05-02,0:00:00,REGULAR,1943,493,0
192,192,R080,2011-05-02,4:00:00,REGULAR,2071,1537,4
193,193,R080,2011-05-02,8:00:00,REGULAR,545,1347,8
194,194,R080,2011-05-02,12:00:00,REGULAR,3832,7420,12
195,195,R080,2011-05-02,16:00:00,REGULAR,5294,2795,16
196,196,R080,2011-05-02,20:00:00,REGULAR,12322,2791,20
197,197,R080,2011-05-03,0:00:00,REGULAR,4447,927,0
198,198,R080,2011-05-03,4:00:00,REGULAR,632,122,4
199,199,R080,2011-05-03,7:15:52,REGULAR,180,202,7
200,200,R080,2011-05-03,8:00:00,REGULAR,760,2095,8
201,201,R080,2011-05-03,12:00:00,REGULAR,3793,7020,12
202,202,R080,2011-05-03,14:13:19,REGULAR,1724,608,14
203,203,R080,2011-05-03,16:00:00,REGULAR,4186,2271,16
204,204,R080,2011-05-03,20:00:00,REGULAR,12778,3069,20
205,205,R080,2011-05-04,0:00:00,REGULAR,5301,1099,0
206,206,R080,2011-05-04,4:00:00,REGULAR,719,158,4
207,207,R080,2011-05-04,8:00:00,REGULAR,739,1952,8
208,208,R080,2011-05-04,12:00:00,REGULAR,4184,7472,12
209,209,R080,2011-05-04,16:00:00,REGULAR,5973,3040,16
210,210,R080,2011-05-04,20:00:00,REGULAR,12677,3093,20
211,211,R080,2011-05-05,0:00:00,REGULAR,4763,1098,0
212,212,R080,2011-05-05,4:00:00,REGULAR,518,103,4
213,213,R080,2011-05-05,8:00:00,REGULAR,873,1533,8
214,214,R080,2011-05-05,12:00:00,REGULAR,4496,7734,12
215,215,R080,2011-05-05,16:00:00,REGULAR,6201,3402,16
216,216,R080,2011-05-05,20:00:00,REGULAR,12403,3442,20
217,217,R080,2011-05-06,0:00:00,REGULAR,5483,1246,0
218,218,R080,2011-05-06,4:00:00,REGULAR,960,220,4
219,219,R080,2011-05-06,8:00:00,REGULAR,343,1338,8
220,220,R080,2011-05-06,12:00:00,REGULAR,4184,7427,12
221,221,R080,2011-05-06,13:00:05,REGULAR,108,36,13
222,222,R080,2011-05-06,16:00:00,REGULAR,5409,2986,16
223,223,R080,2011-05-06,20:00:00,REGULAR,10489,3191,20
224,224,R081,2011-05-01,0:00:00,REGULAR,0,0,0
225,225,R081,2011-05-01,4:00:00,REGULAR,1196,335,4
226,226,R081,2011-05-01,8:00:00,REGULAR,215,393,8
227,227,R081,2011-05-01,12:00:00,REGULAR,1894,2750,12
228,228,R081,2011-05-01,16:00:00,REGULAR,2902,3505,16
229,229,R081,2011-05-01,18:47:00,REGULAR,289,76,18
230,230,R081,2011-05-01,19:00:15,REGULAR,334,48,19
231,231,R081,2011-05-01,19:11:41,REGULAR,223,34,19
232,232,R081,2011-05-01,20:00:00,REGULAR,2612,2378,20
233,233,R081,2011-05-02,0:00:00,REGULAR,2517,1087,0
234,234,R081,2011-05-02,4:00:00,REGULAR,2159,468,4
235,235,R081,2011-05-02,6:14:12,REGULAR,6,20,6
236,236,R081,2011-05-02,8:00:00,REGULAR,332,2648,8
237,237,R081,2011-05-02,12:00:00,REGULAR,2432,6977,12
238,238,R081,2011-05-02,16:00:00,REGULAR,4472,3787,16
239,239,R081,2011-05-02,20:00:00,REGULAR,11620,6958,20
240,240,R081,2011-05-03,0:00:00,REGULAR,3979,1424,0
241,241,R081,2011-05-03,4:00:00,REGULAR,581,111,4
242,242,R081,2011-05-03,8:00:00,REGULAR,468,2910,8
243,243,R081,2011-05-03,12:00:00,REGULAR,3147,9490,12
244,244,R081,2011-05-03,16:00:00,REGULAR,4464,4198,16
245,245,R081,2011-05-03,20:00:00,REGULAR,11444,5403,20
246,246,R081,2011-05-04,0:00:00,REGULAR,4987,1487,0
247,247,R081,2011-05-04,4:00:00,REGULAR,658,137,4
248,248,R081,2011-05-04,8:00:00,REGULAR,468,1651,8
249,249,R081,2011-05-04,12:00:00,REGULAR,3327,11054,12
250,250,R081,2011-05-04,16:00:00,REGULAR,4552,5201,16
251,251,R081,2011-05-04,20:00:00,REGULAR,12158,4685,20
252,252,R081,2011-05-05,0:00:00,REGULAR,4950,1473,0
253,253,R081,2011-05-05,4:00:00,REGULAR,741,159,4
254,254,R081,2011-05-05,8:00:00,REGULAR,414,2051,8
255,255,R081,2011-05-05,12:00:00,REGULAR,3347,10625,12
256,256,R081,2011-05-05,16:00:00,REGULAR,4692,4510,16
257,257,R081,2011-05-05,20:00:00,REGULAR,11486,5937,20
258,258,R081,2011-05-06,0:00:00,REGULAR,5904,1888,0
259,259,R081,2011-05-06,4:00:00,REGULAR,907,219,4
260,260,R081,2011-05-06,8:00:00,REGULAR,388,2562,8
261,261,R081,2011-05-06,12:00:00,REGULAR,3307,8961,12
262,262,R081,2011-05-06,16:00:00,REGULAR,4522,4987,16
263,263,R081,2011-05-06,20:00:00,REGULAR,11658,5919,20
264,264,R082,2011-05-01,0:00:00,REGULAR,0,0,0
265,265,R082,2011-05-01,4:00:00,REGULAR,227,187,4
266,266,R082,2011-05-01,8:00:00,REGULAR,43,108,8
267,267,R082,2011-05-01,12:00:00,REGULAR,792,1552,12
268,268,R082,2011-05-01,16:00:00,REGULAR,1300,1640,16
269,269,R082,2011-05-01,20:00:00,REGULAR,1319,1400,20
270,270,R082,2011-05-02,0:00:00,REGULAR,600,505,0
271,271,R082,2011-05-02,4:00:00,REGULAR,87,66,4
272,272,R082,2011-05-02,8:00:00,REGULAR,64,497,8
273,273,R082,2011-05-02,12:00:00,REGULAR,1981,5995,12
274,274,R082,2011-05-02,16:00:00,REGULAR,2375,2634,16
275,275,R082,2011-05-02,20:00:00,REGULAR,4921,2801,20
276,276,R082,2011-05-03,0:00:00,REGULAR,1198,588,0
277,277,R082,2011-05-03,4:00:00,REGULAR,87,76,4
278,278,R082,2011-05-03,8:00:00,REGULAR,66,286,8
279,279,R082,2011-05-03,12:00:00,REGULAR,2002,6402,12
280,280,R082,2011-05-03,16:00:00,REGULAR,2595,2853,16
281,281,R082,2011-05-03,20:00:00,REGULAR,5128,3041,20
282,282,R082,2011-05-04,0:00:00,REGULAR,1394,702,0
283,283,R082,2011-05-04,4:00:00,REGULAR,106,57,4
284,284,R082,2011-05-04,8:00:00,REGULAR,154,421,8
285,285,R082,2011-05-04,12:00:00,REGULAR,2036,6624,12
286,286,R082,2011-05-04,16:00:00,REGULAR,2659,2843,16
287,287,R082,2011-05-04,20:00:00,REGULAR,5427,3055,20
288,288,R082,2011-05-05,0:00:00,REGULAR,1360,729,0
289,289,R082,2011-05-05,4:00:00,REGULAR,120,53,4
290,290,R082,2011-05-05,8:00:00,REGULAR,173,452,8
291,291,R082,2011-05-05,12:00:00,REGULAR,1958,6213,12
292,292,R082,2011-05-05,16:00:00,REGULAR,2682,3028,16
293,293,R082,2011-05-05,20:00:00,REGULAR,5084,3277,20
294,294,R082,2011-05-06,0:00:00,REGULAR,1448,914,0
295,295,R082,2011-05-06,4:00:00,REGULAR,120,81,4
296,296,R082,2011-05-06,8:00:00,REGULAR,63,377,8
297,297,R082,2011-05-06,12:00:00,REGULAR,2138,5054,12
298,298,R082,2011-05-06,16:00:00,REGULAR,2391,2131,16
299,299,R082,2011-05-06,20:00:00,REGULAR,4350,3243,20
300,300,R083,2011-05-01,0:00:00,REGULAR,0,0,0
301,301,R083,2011-05-01,4:00:00,REGULAR,606,137,4
302,302,R083,2011-05-01,8:00:00,REGULAR,97,61,8
303,303,R083,2011-05-01,12:00:00,REGULAR,1306,1277,12
304,304,R083,2011-05-01,16:00:00,REGULAR,3433,1553,16
305,305,R083,2011-05-01,20:00:00,REGULAR,2870,1327,20
306,306,R083,2011-05-02,0:00:00,REGULAR,1453,371,0
307,307,R083,2011-05-02,4:00:00,REGULAR,150,37,4
308,308,R083,2011-05-02,8:00:00,REGULAR,491,1014,8
309,309,R083,2011-05-02,12:00:00,REGULAR,2874,5947,12
310,310,R083,2011-05-02,16:00:00,REGULAR,4572,2491,16
311,311,R083,2011-05-02,20:00:00,REGULAR,9983,2465,20
312,312,R083,2011-05-03,0:00:00,REGULAR,3151,481,0
313,313,R083,2011-05-03,4:00:00,REGULAR,227,56,4
314,314,R083,2011-05-03,8:00:00,REGULAR,368,852,8
315,315,R083,2011-05-03,12:00:00,REGULAR,3217,7041,12
316,316,R083,2011-05-03,16:00:00,REGULAR,4865,2629,16
317,317,R083,2011-05-03,20:00:00,REGULAR,10641,2668,20
318,318,R083,2011-05-04,0:00:00,REGULAR,3837,550,0
319,319,R083,2011-05-04,4:00:00,REGULAR,279,78,4
320,320,R083,2011-05-04,8:00:00,REGULAR,440,1114,8
321,321,R083,2011-05-04,12:00:00,REGULAR,3227,6605,12
322,322,R083,2011-05-04,16:00:00,REGULAR,4071,2051,16
323,323,R083,2011-05-04,20:00:00,REGULAR,10475,2650,20
324,324,R083,2011-05-05,0:00:00,REGULAR,4640,893,0
325,325,R083,2011-05-05,4:00:00,REGULAR,260,41,4
326,326,R083,2011-05-05,8:00:00,REGULAR,326,481,8
327,327,R083,2011-05-05,10:16:55,REGULAR,201,553,10
328,328,R083,2011-05-05,10:40:58,REGULAR,132,325,10
329,329,R083,2011-05-05,11:11:58,REGULAR,115,322,11
330,330,R083,2011-05-05,12:00:00,REGULAR,2654,5115,12
331,331,R083,2011-05-05,16:00:00,REGULAR,3213,2020,16
332,332,R083,2011-05-05,20:00:00,REGULAR,11202,3786,20
333,333,R083,2011-05-06,0:00:00,REGULAR,5488,972,0
334,334,R083,2011-05-06,4:00:00,REGULAR,429,57,4
335,335,R083,2011-05-06,8:00:00,REGULAR,330,599,8
336,336,R083,2011-05-06,12:00:00,REGULAR,3154,5812,12
337,337,R083,2011-05-06,16:00:00,REGULAR,5355,2583,16
338,338,R083,2011-05-06,20:00:00,REGULAR,9214,2456,20
339,339,R170,2011-05-01,1:00:00,REGULAR,0,0,1
340,340,R170,2011-05-01,5:00:00,REGULAR,1660,542,5
341,341,R170,2011-05-01,9:00:00,REGULAR,506,1217,9
342,342,R170,2011-05-01,13:00:00,REGULAR,2632,6153,13
343,343,R170,2011-05-01,17:00:00,REGULAR,7384,8362,17
344,344,R170,2011-05-01,21:00:00,REGULAR,7464,5398,21
345,345,R170,2011-05-02,1:00:00,REGULAR,3230,1136,1
346,346,R170,2011-05-02,5:00:00,REGULAR,377,219,5
347,347,R170,2011-05-02,9:00:00,REGULAR,1860,6448,9
348,348,R170,2011-05-02,13:00:00,REGULAR,4224,9045,13
349,349,R170,2011-05-02,17:00:00,REGULAR,6863,4104,17
350,350,R170,2011-05-02,21:00:00,REGULAR,11551,3640,21
351,351,R170,2011-05-03,1:00:00,REGULAR,6069,1543,1
352,352,R170,2011-05-03,5:00:00,REGULAR,6722,10310,5
353,353,R170,2011-05-03,9:00:00,REGULAR,1868,6747,9
354,354,R170,2011-05-03,13:00:00,REGULAR,4474,10893,13
355,355,R170,2011-05-03,17:00:00,REGULAR,8658,8591,17
356,356,R170,2011-05-03,21:00:00,REGULAR,15251,9014,21
357,357,R170,2011-05-04,1:00:00,REGULAR,4736,1570,1
358,358,R170,2011-05-04,5:00:00,REGULAR,5044,404,5
359,359,R170,2011-05-04,9:00:00,REGULAR,1868,6967,9
360,360,R170,2011-05-04,13:00:00,REGULAR,4571,11292,13
361,361,R170,2011-05-04,17:00:00,REGULAR,9180,8354,17
362,362,R170,2011-05-04,21:00:00,REGULAR,15607,8747,21
363,363,R170,2011-05-05,1:00:00,REGULAR,5268,1593,1
364,364,R170,2011-05-05,5:00:00,REGULAR,457,172,5
365,365,R170,2011-05-05,9:00:00,REGULAR,1845,6519,9
366,366,R170,2011-05-05,13:00:00,REGULAR,4915,11668,13
367,367,R170,2011-05-05,17:00:00,REGULAR,10872,9311,17
368,368,R170,2011-05-05,21:00:00,REGULAR,16636,10343,21
369,369,R170,2011-05-06,1:00:00,REGULAR,6794,2309,1
370,370,R170,2011-05-06,5:00:00,REGULAR,1184,379,5
371,371,R170,2011-05-06,9:00:00,REGULAR,1734,6358,9
372,372,R170,2011-05-06,13:00:00,REGULAR,5159,11416,13
373,373,R170,2011-05-06,16:03:04,REGULAR,4166,3547,16
374,374,R170,2011-05-06,17:00:00,REGULAR,7340,6536,17
375,375,R170,2011-05-06,21:00:00,REGULAR,17037,11134,21
